Country/Region,ObservationDate,SNo,Deaths,date_sec
Algeria,3/6/2020,3640,0,1583452800
Algeria,3/7/2020,3843,0,1583539200
Algeria,3/8/2020,4070,0,1583625600
Algeria,3/9/2020,4325,0,1583712000
Algeria,4/1/2020,10672,58,1585699200
Algeria,4/10/2020,13530,256,1586476800
Algeria,4/11/2020,13851,275,1586563200
Algeria,4/12/2020,14172,293,1586649600
Algeria,4/13/2020,14492,313,1586736000
Algeria,4/14/2020,14812,326,1586822400
Algeria,4/15/2020,15132,336,1586908800
Algeria,4/16/2020,15452,348,1586995200
Algeria,4/17/2020,15772,364,1587081600
Algeria,4/18/2020,16092,367,1587168000
Algeria,4/19/2020,16412,375,1587254400
Algeria,4/2/2020,10985,86,1585785600
Algeria,4/20/2020,16732,384,1587340800
Algeria,4/21/2020,17052,392,1587427200
Algeria,4/22/2020,17372,402,1587513600
Algeria,4/23/2020,17691,407,1587600000
Algeria,4/3/2020,11300,105,1585872000
Algeria,4/4/2020,11615,130,1585958400
Algeria,4/5/2020,11931,152,1586044800
Algeria,4/6/2020,12250,173,1586131200
Algeria,4/7/2020,12570,193,1586217600
Algeria,4/8/2020,12890,205,1586304000
Algeria,4/9/2020,13210,235,1586390400
Andorra,3/10/2020,4680,0,1583798400
Andorra,3/11/2020,4898,0,1583884800
Andorra,3/12/2020,5120,0,1583971200
Andorra,3/13/2020,5273,0,1584057600
Andorra,3/14/2020,5596,0,1584144000
Andorra,3/15/2020,5849,0,1584230400
Andorra,3/16/2020,6111,0,1584316800
Andorra,3/17/2020,6297,0,1584403200
Andorra,3/18/2020,6579,0,1584489600
Andorra,3/19/2020,6863,0,1584576000
Andorra,3/2/2020,3043,0,1583107200
Andorra,3/20/2020,7152,0,1584662400
Andorra,3/21/2020,7450,0,1584748800
Andorra,3/22/2020,7621,1,1584835200
Andorra,3/23/2020,7919,1,1584921600
Andorra,3/24/2020,8213,1,1585008000
Andorra,3/25/2020,8511,1,1585094400
Andorra,3/26/2020,8813,3,1585180800
Andorra,3/27/2020,9119,3,1585267200
Andorra,3/28/2020,9426,3,1585353600
Andorra,3/29/2020,9737,6,1585440000
Andorra,3/3/2020,3191,0,1583193600
Andorra,3/30/2020,10048,8,1585526400
Andorra,3/31/2020,10360,12,1585612800
Andorra,3/4/2020,3350,0,1583280000
Andorra,3/5/2020,3521,0,1583366400
Andorra,3/6/2020,3707,0,1583452800
Andorra,3/7/2020,3921,0,1583539200
Andorra,3/8/2020,4168,0,1583625600
Andorra,3/9/2020,4433,0,1583712000
Andorra,4/1/2020,10673,14,1585699200
Andorra,4/10/2020,13531,26,1586476800
Andorra,4/11/2020,13852,26,1586563200
Andorra,4/12/2020,14173,29,1586649600
Andorra,4/13/2020,14493,29,1586736000
Andorra,4/14/2020,14813,31,1586822400
Andorra,4/15/2020,15133,33,1586908800
Andorra,4/16/2020,15453,33,1586995200
Andorra,4/17/2020,15773,35,1587081600
Andorra,4/18/2020,16093,35,1587168000
Andorra,4/19/2020,16413,36,1587254400
Andorra,4/2/2020,10986,15,1585785600
Andorra,4/20/2020,16733,37,1587340800
Andorra,4/21/2020,17053,37,1587427200
Andorra,4/22/2020,17373,37,1587513600
Andorra,4/23/2020,17692,37,1587600000
Andorra,4/3/2020,11301,16,1585872000
Andorra,4/4/2020,11616,17,1585958400
Andorra,4/5/2020,11932,18,1586044800
Andorra,4/6/2020,12251,21,1586131200
Andorra,4/7/2020,12571,22,1586217600
Andorra,4/8/2020,12891,23,1586304000
Andorra,4/9/2020,13211,25,1586390400
Angola,3/20/2020,7278,0,1584662400
Angola,3/21/2020,7569,0,1584748800
Angola,3/22/2020,7622,0,1584835200
Angola,3/23/2020,7920,0,1584921600
Angola,3/24/2020,8214,0,1585008000
Angola,3/25/2020,8512,0,1585094400
Angola,3/26/2020,8814,0,1585180800
Angola,3/27/2020,9120,0,1585267200
Angola,3/28/2020,9427,0,1585353600
Angola,3/29/2020,9738,2,1585440000
Angola,3/30/2020,10049,2,1585526400
Angola,3/31/2020,10361,2,1585612800
Angola,4/1/2020,10674,2,1585699200
Angola,4/10/2020,13532,2,1586476800
Angola,4/11/2020,13853,2,1586563200
Angola,4/12/2020,14174,2,1586649600
Angola,4/13/2020,14494,2,1586736000
Angola,4/14/2020,14814,2,1586822400
Angola,4/15/2020,15134,2,1586908800
Angola,4/16/2020,15454,2,1586995200
Angola,4/17/2020,15774,2,1587081600
Angola,4/18/2020,16094,2,1587168000
Angola,4/19/2020,16414,2,1587254400
Angola,4/2/2020,10987,2,1585785600
Angola,4/20/2020,16734,2,1587340800
Angola,4/21/2020,17054,2,1587427200
Angola,4/22/2020,17374,2,1587513600
Angola,4/23/2020,17693,2,1587600000
Angola,4/3/2020,11302,2,1585872000
Angola,4/4/2020,11617,2,1585958400
Angola,4/5/2020,11933,2,1586044800
Angola,4/6/2020,12252,2,1586131200
Angola,4/7/2020,12572,2,1586217600
Angola,4/8/2020,12892,2,1586304000
Angola,4/9/2020,13212,2,1586390400
Antigua and Barbuda,3/13/2020,5275,0,1584057600
Antigua and Barbuda,3/14/2020,5597,0,1584144000
Antigua and Barbuda,3/15/2020,5850,0,1584230400
Antigua and Barbuda,3/16/2020,6123,0,1584316800
Antigua and Barbuda,3/17/2020,6404,0,1584403200
Antigua and Barbuda,3/18/2020,6686,0,1584489600
Antigua and Barbuda,3/19/2020,6980,0,1584576000
Antigua and Barbuda,3/20/2020,7279,0,1584662400
Antigua and Barbuda,3/21/2020,7583,0,1584748800
Antigua and Barbuda,3/22/2020,7623,0,1584835200
Antigua and Barbuda,3/23/2020,7921,0,1584921600
Antigua and Barbuda,3/24/2020,8215,0,1585008000
Antigua and Barbuda,3/25/2020,8513,0,1585094400
Antigua and Barbuda,3/26/2020,8815,0,1585180800
Antigua and Barbuda,3/27/2020,9121,0,1585267200
Antigua and Barbuda,3/28/2020,9428,0,1585353600
Antigua and Barbuda,3/29/2020,9739,0,1585440000
Antigua and Barbuda,3/30/2020,10050,0,1585526400
Antigua and Barbuda,3/31/2020,10362,0,1585612800
Antigua and Barbuda,4/1/2020,10675,0,1585699200
Antigua and Barbuda,4/10/2020,13533,2,1586476800
Antigua and Barbuda,4/11/2020,13854,2,1586563200
Antigua and Barbuda,4/12/2020,14175,2,1586649600
Antigua and Barbuda,4/13/2020,14495,2,1586736000
Antigua and Barbuda,4/14/2020,14815,2,1586822400
Antigua and Barbuda,4/15/2020,15135,2,1586908800
Antigua and Barbuda,4/16/2020,15455,3,1586995200
Antigua and Barbuda,4/17/2020,15775,3,1587081600
Antigua and Barbuda,4/18/2020,16095,3,1587168000
Antigua and Barbuda,4/19/2020,16415,3,1587254400
Antigua and Barbuda,4/2/2020,10988,0,1585785600
Antigua and Barbuda,4/20/2020,16735,3,1587340800
Antigua and Barbuda,4/21/2020,17055,3,1587427200
Antigua and Barbuda,4/22/2020,17375,3,1587513600
Antigua and Barbuda,4/23/2020,17694,3,1587600000
Antigua and Barbuda,4/3/2020,11303,0,1585872000
Antigua and Barbuda,4/4/2020,11618,0,1585958400
Antigua and Barbuda,4/5/2020,11934,0,1586044800
Antigua and Barbuda,4/6/2020,12253,0,1586131200
Antigua and Barbuda,4/7/2020,12573,1,1586217600
Antigua and Barbuda,4/8/2020,12893,2,1586304000
Antigua and Barbuda,4/9/2020,13213,2,1586390400
Argentina,3/10/2020,4603,1,1583798400
Argentina,3/11/2020,4815,1,1583884800
Argentina,3/12/2020,5036,1,1583971200
Argentina,3/13/2020,5282,2,1584057600
Argentina,3/14/2020,5491,2,1584144000
Argentina,3/15/2020,5736,2,1584230400
Argentina,3/16/2020,5991,2,1584316800
Argentina,3/17/2020,6267,2,1584403200
Argentina,3/18/2020,6549,2,1584489600
Argentina,3/19/2020,6835,3,1584576000
