Country/Region,date_sec,log_Confirmed
 Azerbaijan,1582848000,0.0
"('St. Martin',)",1583798400,0.3010299956639812
Afghanistan,1582502400,0.0
Afghanistan,1582588800,0.0
Afghanistan,1582675200,0.0
Afghanistan,1582761600,0.0
Afghanistan,1582848000,0.0
Afghanistan,1582934400,0.0
Afghanistan,1583020800,0.0
Afghanistan,1583107200,0.0
Afghanistan,1583193600,0.0
Afghanistan,1583280000,0.0
Afghanistan,1583366400,0.0
Afghanistan,1583452800,0.0
Afghanistan,1583539200,0.0
Afghanistan,1583625600,0.6020599913279624
Afghanistan,1583712000,0.6020599913279624
Afghanistan,1583798400,0.6989700043360189
Afghanistan,1583884800,0.8450980400142568
Afghanistan,1583971200,0.8450980400142568
Afghanistan,1584057600,0.8450980400142568
Afghanistan,1584144000,1.0413926851582251
Afghanistan,1584230400,1.2041199826559248
Afghanistan,1584316800,1.3222192947339193
Afghanistan,1584403200,1.3424226808222062
Afghanistan,1584489600,1.3424226808222062
Afghanistan,1584576000,1.3424226808222062
Afghanistan,1584662400,1.380211241711606
Afghanistan,1584748800,1.380211241711606
Afghanistan,1584835200,1.6020599913279623
Afghanistan,1584921600,1.6020599913279623
Afghanistan,1585008000,1.8692317197309762
Afghanistan,1585094400,1.9242792860618816
Afghanistan,1585180800,1.9731278535996986
Afghanistan,1585267200,2.041392685158225
Afghanistan,1585353600,2.041392685158225
Afghanistan,1585440000,2.0791812460476247
Afghanistan,1585526400,2.230448921378274
Afghanistan,1585612800,2.2405492482826
Afghanistan,1585699200,2.374748346010104
Afghanistan,1585785600,2.436162647040756
Afghanistan,1585872000,2.44870631990508
Afghanistan,1585958400,2.4756711883244296
Afghanistan,1586044800,2.5428254269591797
Afghanistan,1586131200,2.5646660642520893
Afghanistan,1586217600,2.6263403673750423
Afghanistan,1586304000,2.6473829701146196
Afghanistan,1586390400,2.6848453616444123
Afghanistan,1586476800,2.7168377232995247
Afghanistan,1586563200,2.7442929831226763
Afghanistan,1586649600,2.7831886910752575
Afghanistan,1586736000,2.8228216453031045
Afghanistan,1586822400,2.8536982117761744
Afghanistan,1586908800,2.8943160626844384
Afghanistan,1586995200,2.9242792860618816
Afghanistan,1587081600,2.957128197676813
Afghanistan,1587168000,2.9698816437465
Afghanistan,1587254400,2.998259338423699
Afghanistan,1587340800,3.0111473607757975
Afghanistan,1587427200,3.0382226383687185
Afghanistan,1587513600,3.0704073217401198
Afghanistan,1587600000,3.106870544478654
Albania,1583712000,0.3010299956639812
Albania,1583798400,1.0
Albania,1583884800,1.0791812460476249
Albania,1583971200,1.3617278360175928
Albania,1584057600,1.5185139398778875
Albania,1584144000,1.5797835966168101
Albania,1584230400,1.6232492903979006
Albania,1584316800,1.7075701760979363
Albania,1584403200,1.7403626894942439
Albania,1584489600,1.7708520116421442
Albania,1584576000,1.806179973983887
Albania,1584662400,1.845098040014257
Albania,1584748800,1.8808135922807914
Albania,1584835200,1.9493900066449128
Albania,1584921600,2.0170333392987803
Albania,1585008000,2.089905111439398
Albania,1585094400,2.164352855784437
Albania,1585180800,2.2405492482826
Albania,1585267200,2.2695129442179165
Albania,1585353600,2.294466226161593
Albania,1585440000,2.326335860928751
Albania,1585526400,2.3483048630481607
Albania,1585612800,2.385606273598312
Albania,1585699200,2.413299764081252
Albania,1585785600,2.4424797690644486
Albania,1585872000,2.482873583608754
Albania,1585958400,2.5224442335063197
Albania,1586044800,2.5575072019056577
Albania,1586131200,2.576341350205793
Albania,1586217600,2.583198773968623
Albania,1586304000,2.6020599913279625
Albania,1586390400,2.611723308007342
Albania,1586476800,2.6190933306267428
Albania,1586563200,2.6364878963533656
Albania,1586649600,2.649334858712142
Albania,1586736000,2.6693168805661123
Albania,1586822400,2.6766936096248664
Albania,1586908800,2.693726948923647
Albania,1586995200,2.714329759745233
Albania,1587081600,2.7315887651867388
Albania,1587168000,2.738780558484369
Albania,1587254400,2.749736315569061
Albania,1587340800,2.7664128471123997
Albania,1587427200,2.784617292632875
Albania,1587513600,2.802089257881733
Albania,1587600000,2.821513528404773
Algeria,1582588800,0.0
Algeria,1582675200,0.0
Algeria,1582761600,0.0
Algeria,1582848000,0.0
Algeria,1582934400,0.0
Algeria,1583020800,0.0
Algeria,1583107200,0.47712125471966244
Algeria,1583193600,0.6989700043360189
Algeria,1583280000,1.0791812460476249
Algeria,1583366400,1.0791812460476249
Algeria,1583452800,1.2304489213782739
Algeria,1583539200,1.2304489213782739
Algeria,1583625600,1.2787536009528289
Algeria,1583712000,1.3010299956639813
Algeria,1583798400,1.3010299956639813
Algeria,1583884800,1.3010299956639813
Algeria,1583971200,1.380211241711606
Algeria,1584057600,1.414973347970818
Algeria,1584144000,1.568201724066995
Algeria,1584230400,1.6812412373755872
Algeria,1584316800,1.7323937598229686
Algeria,1584403200,1.7781512503836436
Algeria,1584489600,1.8692317197309762
Algeria,1584576000,1.9395192526186185
Algeria,1584662400,1.954242509439325
Algeria,1584748800,2.143014800254095
Algeria,1584835200,2.303196057420489
Algeria,1584921600,2.361727836017593
Algeria,1585008000,2.4216039268698313
Algeria,1585094400,2.4800069429571505
Algeria,1585180800,2.5646660642520893
Algeria,1585267200,2.611723308007342
Algeria,1585353600,2.6570558528571038
Algeria,1585440000,2.708420900134713
Algeria,1585526400,2.7664128471123997
Algeria,1585612800,2.8549130223078554
Algeria,1585699200,2.9278834103307068
Algeria,1585785600,2.993876914941211
Algeria,1585872000,3.068556895072363
Algeria,1585958400,3.09725730969342
Algeria,1586044800,3.12057393120585
Algeria,1586131200,3.153204900084284
