ObservationDate,SNo,Confirmed,Deaths,Recovered,log_Confirmed,log_Deaths,log_Recovered,date_sec
04/18/2020,16090,933.0,30.0,112.0,2.9698816437465,1.4771212547196624,2.0492180226701815,1587168000
04/19/2020,16410,996.0,33.0,131.0,2.998259338423699,1.5185139398778875,2.1172712956557644,1587254400
04/20/2020,16730,1026.0,36.0,135.0,3.0111473607757975,1.5563025007672873,2.130333768495006,1587340800
04/21/2020,17050,1092.0,36.0,150.0,3.0382226383687185,1.5563025007672873,2.1760912590556813,1587427200
04/22/2020,17370,1176.0,40.0,166.0,3.0704073217401198,1.6020599913279623,2.220108088040055,1587513600
04/23/2020,17689,1279.0,42.0,179.0,3.106870544478654,1.6232492903979006,2.2528530309798933,1587600000
04/24/2020,18009,1351.0,43.0,188.0,3.130655349022031,1.6334684555795864,2.27415784926368,1587686400
04/25/2020,18328,1463.0,47.0,188.0,3.1652443261253107,1.6720978579357175,2.27415784926368,1587772800
04/26/2020,18647,1531.0,50.0,207.0,3.184975190698261,1.6989700043360187,2.315970345456918,1587859200
04/27/2020,18966,1703.0,57.0,220.0,3.231214647962601,1.7558748556724915,2.342422680822206,1587945600
04/28/2020,19287,1828.0,58.0,228.0,3.2619761913978125,1.7634279935629373,2.357934847000454,1588032000
04/29/2020,19608,1939.0,60.0,252.0,3.2875778090787056,1.7781512503836436,2.401400540781544,1588118400
04/30/2020,19929,2171.0,64.0,260.0,3.3366598234544202,1.806179973983887,2.4149733479708178,1588204800
05/01/2020,20252,2335.0,68.0,310.0,3.368286884902131,1.8325089127062364,2.4913616938342726,1588291200
05/02/2020,20575,2469.0,72.0,331.0,3.3925210899319325,1.8573324964312685,2.519827993775719,1588377600
05/03/2020,20898,2704.0,85.0,345.0,3.4320066872695985,1.9294189257142926,2.537819095073274,1588464000
05/04/2020,21221,2894.0,90.0,397.0,3.4614985267830187,1.954242509439325,2.598790506763115,1588550400
05/05/2020,21544,3224.0,95.0,421.0,3.508395033133053,1.9777236052888478,2.6242820958356683,1588636800
05/06/2020,21867,3392.0,104.0,458.0,3.5304558435846762,2.0170333392987803,2.660865478003869,1588723200
05/07/2020,22190,3563.0,106.0,468.0,3.5518158223510157,2.0253058652647704,2.670245853074124,1588809600
05/08/2020,22513,3778.0,109.0,472.0,3.577261953585815,2.037426497940624,2.673941998634088,1588896000
05/09/2020,22836,4033.0,115.0,502.0,3.605628222007619,2.060697840353612,2.7007037171450192,1588982400
05/10/2020,23159,4402.0,120.0,558.0,3.6436500382173294,2.0791812460476247,2.7466341989375787,1589068800
05/11/2020,23482,4687.0,122.0,558.0,3.67089495352021,2.0863598306747484,2.7466341989375787,1589155200
05/12/2020,23805,4963.0,127.0,610.0,3.6957442751973235,2.103803720955957,2.785329835010767,1589241600
05/13/2020,24128,5226.0,132.0,648.0,3.718169405391307,2.12057393120585,2.8115750058705933,1589328000
05/14/2020,24452,5639.0,136.0,691.0,3.7512020945883533,2.1335389083702174,2.8394780473741985,1589414400
05/15/2020,24829,6053.0,153.0,745.0,3.781970673912552,2.184691430817599,2.8721562727482928,1589500800
05/16/2020,25206,6402.0,168.0,745.0,3.8063156698081135,2.225309281725863,2.8721562727482928,1589587200
05/17/2020,25583,6664.0,169.0,778.0,3.8237349883987313,2.2278867046136734,2.890979596989689,1589673600
05/18/2020,25960,7072.0,173.0,801.0,3.849542252005017,2.2380461031287955,2.9036325160842376,1589760000
03/11/2020,4829,12.0,1.0,0.0,1.0791812460476249,0.0,-inf,1583884800
03/12/2020,5028,23.0,1.0,0.0,1.3617278360175928,0.0,-inf,1583971200
03/13/2020,5191,33.0,1.0,0.0,1.5185139398778875,0.0,-inf,1584057600
03/14/2020,5485,38.0,1.0,0.0,1.5797835966168101,0.0,-inf,1584144000
03/15/2020,5741,42.0,1.0,0.0,1.6232492903979006,0.0,-inf,1584230400
03/16/2020,6004,51.0,1.0,0.0,1.7075701760979363,0.0,-inf,1584316800
03/17/2020,6286,55.0,1.0,0.0,1.7403626894942439,0.0,-inf,1584403200
03/18/2020,6563,59.0,2.0,0.0,1.7708520116421442,0.3010299956639812,-inf,1584489600
03/19/2020,6857,64.0,2.0,0.0,1.806179973983887,0.3010299956639812,-inf,1584576000
03/20/2020,7158,70.0,2.0,0.0,1.845098040014257,0.3010299956639812,-inf,1584662400
03/21/2020,7460,76.0,2.0,2.0,1.8808135922807914,0.3010299956639812,0.3010299956639812,1584748800
03/22/2020,7619,89.0,2.0,2.0,1.9493900066449128,0.3010299956639812,0.3010299956639812,1584835200
03/23/2020,7917,104.0,4.0,2.0,2.0170333392987803,0.6020599913279624,0.3010299956639812,1584921600
03/24/2020,8211,123.0,5.0,10.0,2.089905111439398,0.6989700043360189,1.0,1585008000
03/25/2020,8509,146.0,5.0,17.0,2.164352855784437,0.6989700043360189,1.2304489213782739,1585094400
03/26/2020,8811,174.0,6.0,17.0,2.2405492482826,0.7781512503836436,1.2304489213782739,1585180800
03/27/2020,9117,186.0,8.0,31.0,2.2695129442179165,0.9030899869919435,1.4913616938342726,1585267200
03/28/2020,9424,197.0,10.0,31.0,2.294466226161593,1.0,1.4913616938342726,1585353600
03/29/2020,9735,212.0,10.0,33.0,2.326335860928751,1.0,1.5185139398778875,1585440000
03/30/2020,10046,223.0,11.0,44.0,2.3483048630481607,1.0413926851582251,1.6434526764861874,1585526400
03/31/2020,10358,243.0,15.0,52.0,2.385606273598312,1.1760912590556813,1.7160033436347992,1585612800
04/01/2020,10671,259.0,15.0,67.0,2.413299764081252,1.1760912590556813,1.8260748027008264,1585699200
04/02/2020,10984,277.0,16.0,76.0,2.4424797690644486,1.2041199826559248,1.8808135922807914,1585785600
04/03/2020,11299,304.0,17.0,89.0,2.482873583608754,1.2304489213782739,1.9493900066449128,1585872000
04/04/2020,11614,333.0,20.0,99.0,2.5224442335063197,1.3010299956639813,1.99563519459755,1585958400
04/05/2020,11930,361.0,20.0,104.0,2.5575072019056577,1.3010299956639813,2.0170333392987803,1586044800
04/06/2020,12249,377.0,21.0,116.0,2.576341350205793,1.3222192947339193,2.0644579892269186,1586131200
04/07/2020,12569,383.0,22.0,131.0,2.583198773968623,1.3424226808222062,2.1172712956557644,1586217600
04/08/2020,12889,400.0,22.0,154.0,2.6020599913279625,1.3424226808222062,2.187520720836463,1586304000
04/09/2020,13209,409.0,23.0,165.0,2.611723308007342,1.3617278360175928,2.2174839442139063,1586390400
