Country/Region,ObservationDate,SNo,Recovered,date_sec
Afghanistan,03/16/2020,6038,1.0,1584316800
Afghanistan,03/17/2020,6325,1.0,1584403200
Afghanistan,03/18/2020,6608,1.0,1584489600
Afghanistan,03/19/2020,6901,1.0,1584576000
Afghanistan,03/20/2020,7197,1.0,1584662400
Afghanistan,03/21/2020,7503,1.0,1584748800
Afghanistan,03/22/2020,7618,1.0,1584835200
Afghanistan,03/23/2020,7916,1.0,1584921600
Afghanistan,03/24/2020,8210,1.0,1585008000
Afghanistan,03/25/2020,8508,2.0,1585094400
Afghanistan,03/26/2020,8810,2.0,1585180800
Afghanistan,03/27/2020,9116,2.0,1585267200
Afghanistan,03/28/2020,9423,2.0,1585353600
Afghanistan,03/29/2020,9734,2.0,1585440000
Afghanistan,03/30/2020,10045,2.0,1585526400
Afghanistan,03/31/2020,10357,5.0,1585612800
Afghanistan,04/01/2020,10670,5.0,1585699200
Afghanistan,04/02/2020,10983,10.0,1585785600
Afghanistan,04/03/2020,11298,10.0,1585872000
Afghanistan,04/04/2020,11613,10.0,1585958400
Afghanistan,04/05/2020,11929,15.0,1586044800
Afghanistan,04/06/2020,12248,18.0,1586131200
Afghanistan,04/07/2020,12568,18.0,1586217600
Afghanistan,04/08/2020,12888,29.0,1586304000
Afghanistan,04/09/2020,13208,32.0,1586390400
Afghanistan,04/10/2020,13528,32.0,1586476800
Afghanistan,04/11/2020,13849,32.0,1586563200
Afghanistan,04/12/2020,14170,32.0,1586649600
Afghanistan,04/13/2020,14490,32.0,1586736000
Afghanistan,04/14/2020,14810,40.0,1586822400
Afghanistan,04/15/2020,15130,43.0,1586908800
Afghanistan,04/16/2020,15450,54.0,1586995200
Afghanistan,04/17/2020,15770,99.0,1587081600
Afghanistan,04/18/2020,16090,112.0,1587168000
Afghanistan,04/19/2020,16410,131.0,1587254400
Afghanistan,04/20/2020,16730,135.0,1587340800
Afghanistan,04/21/2020,17050,150.0,1587427200
Afghanistan,04/22/2020,17370,166.0,1587513600
Afghanistan,04/23/2020,17689,179.0,1587600000
Afghanistan,04/24/2020,18009,188.0,1587686400
Afghanistan,04/25/2020,18328,188.0,1587772800
Afghanistan,04/26/2020,18647,207.0,1587859200
Afghanistan,04/27/2020,18966,220.0,1587945600
Afghanistan,04/28/2020,19287,228.0,1588032000
Afghanistan,04/29/2020,19608,252.0,1588118400
Afghanistan,04/30/2020,19929,260.0,1588204800
Afghanistan,05/01/2020,20252,310.0,1588291200
Afghanistan,05/02/2020,20575,331.0,1588377600
Afghanistan,05/03/2020,20898,345.0,1588464000
Afghanistan,05/04/2020,21221,397.0,1588550400
Afghanistan,05/05/2020,21544,421.0,1588636800
Afghanistan,05/06/2020,21867,458.0,1588723200
Afghanistan,05/07/2020,22190,468.0,1588809600
Afghanistan,05/08/2020,22513,472.0,1588896000
Afghanistan,05/09/2020,22836,502.0,1588982400
Afghanistan,05/10/2020,23159,558.0,1589068800
Afghanistan,05/11/2020,23482,558.0,1589155200
Afghanistan,05/12/2020,23805,610.0,1589241600
Afghanistan,05/13/2020,24128,648.0,1589328000
Afghanistan,05/14/2020,24452,691.0,1589414400
Afghanistan,05/15/2020,24829,745.0,1589500800
Afghanistan,05/16/2020,25206,745.0,1589587200
Afghanistan,05/17/2020,25583,778.0,1589673600
Afghanistan,05/18/2020,25960,801.0,1589760000
Albania,03/21/2020,7460,2.0,1584748800
Albania,03/22/2020,7619,2.0,1584835200
Albania,03/23/2020,7917,2.0,1584921600
Albania,03/24/2020,8211,10.0,1585008000
Albania,03/25/2020,8509,17.0,1585094400
Albania,03/26/2020,8811,17.0,1585180800
Albania,03/27/2020,9117,31.0,1585267200
Albania,03/28/2020,9424,31.0,1585353600
Albania,03/29/2020,9735,33.0,1585440000
Albania,03/30/2020,10046,44.0,1585526400
Albania,03/31/2020,10358,52.0,1585612800
Albania,04/01/2020,10671,67.0,1585699200
Albania,04/02/2020,10984,76.0,1585785600
Albania,04/03/2020,11299,89.0,1585872000
Albania,04/04/2020,11614,99.0,1585958400
Albania,04/05/2020,11930,104.0,1586044800
Albania,04/06/2020,12249,116.0,1586131200
Albania,04/07/2020,12569,131.0,1586217600
Albania,04/08/2020,12889,154.0,1586304000
Albania,04/09/2020,13209,165.0,1586390400
