date_sec,log_Confirmed,log_Deaths,log_Recovered
1584835200,1.6020599913279623,0.0,0.0
1584921600,1.6020599913279623,0.0,0.0
1585008000,1.8692317197309762,0.0,0.0
1585094400,1.9242792860618816,0.3010299956639812,0.3010299956639812
1585180800,1.9731278535996986,0.6020599913279624,0.3010299956639812
1585267200,2.041392685158225,0.6020599913279624,0.3010299956639812
1585353600,2.041392685158225,0.6020599913279624,0.3010299956639812
1585440000,2.0791812460476247,0.6020599913279624,0.3010299956639812
1585526400,2.230448921378274,0.6020599913279624,0.3010299956639812
1585612800,2.2405492482826,0.6020599913279624,0.6989700043360189
1585699200,2.374748346010104,0.6020599913279624,0.6989700043360189
1585785600,2.436162647040756,0.7781512503836436,1.0
1585872000,2.44870631990508,0.7781512503836436,1.0
1585958400,2.4756711883244296,0.8450980400142568,1.0
1586044800,2.5428254269591797,0.8450980400142568,1.1760912590556813
1586131200,2.5646660642520893,1.0413926851582251,1.255272505103306
1586217600,2.6263403673750423,1.146128035678238,1.255272505103306
1586304000,2.6473829701146196,1.146128035678238,1.462397997898956
1586390400,2.6848453616444123,1.1760912590556813,1.505149978319906
1586476800,2.7168377232995247,1.1760912590556813,1.505149978319906
1586563200,2.7442929831226763,1.255272505103306,1.505149978319906
1586649600,2.7831886910752575,1.255272505103306,1.505149978319906
1586736000,2.8228216453031045,1.3222192947339193,1.505149978319906
1586822400,2.8536982117761744,1.3617278360175928,1.6020599913279623
1586908800,2.8943160626844384,1.3979400086720377,1.6334684555795864
1586995200,2.9242792860618816,1.4771212547196624,1.7323937598229686
1587081600,2.957128197676813,1.4771212547196624,1.99563519459755
1587168000,2.9698816437465,1.4771212547196624,2.0492180226701815
1587254400,2.998259338423699,1.5185139398778875,2.1172712956557644
1587340800,3.0111473607757975,1.5563025007672873,2.130333768495006
1587427200,3.0382226383687185,1.5563025007672873,2.1760912590556813
1587513600,3.0704073217401198,1.6020599913279623,2.220108088040055
1587600000,3.106870544478654,1.6232492903979006,2.2528530309798933
1587686400,3.130655349022031,1.6334684555795864,2.27415784926368
1587772800,3.1652443261253107,1.6720978579357175,2.27415784926368
1587859200,3.184975190698261,1.6989700043360187,2.315970345456918
1587945600,3.231214647962601,1.7558748556724915,2.342422680822206
1588032000,3.2619761913978125,1.7634279935629373,2.357934847000454
1588118400,3.2875778090787056,1.7781512503836436,2.401400540781544
1588204800,3.3366598234544202,1.806179973983887,2.4149733479708178
1588291200,3.368286884902131,1.8325089127062364,2.4913616938342726
1588377600,3.3925210899319325,1.8573324964312685,2.519827993775719
1588464000,3.4320066872695985,1.9294189257142926,2.537819095073274
1588550400,3.4614985267830187,1.954242509439325,2.598790506763115
1588636800,3.508395033133053,1.9777236052888478,2.6242820958356683
1588723200,3.5304558435846762,2.0170333392987803,2.660865478003869
1588809600,3.5518158223510157,2.0253058652647704,2.670245853074124
1588896000,3.577261953585815,2.037426497940624,2.673941998634088
1588982400,3.605628222007619,2.060697840353612,2.7007037171450192
1589068800,3.6436500382173294,2.0791812460476247,2.7466341989375787
1589155200,3.67089495352021,2.0863598306747484,2.7466341989375787
1589241600,3.6957442751973235,2.103803720955957,2.785329835010767
1589328000,3.718169405391307,2.12057393120585,2.8115750058705933
1589414400,3.7512020945883533,2.1335389083702174,2.8394780473741985
1589500800,3.781970673912552,2.184691430817599,2.8721562727482928
1589587200,3.8063156698081135,2.225309281725863,2.8721562727482928
1589673600,3.8237349883987313,2.2278867046136734,2.890979596989689
1589760000,3.849542252005017,2.2380461031287955,2.9036325160842376
1583884800,1.0791812460476249,0.0,-inf
1583971200,1.3617278360175928,0.0,-inf
1584057600,1.5185139398778875,0.0,-inf
1584144000,1.5797835966168101,0.0,-inf
1584230400,1.6232492903979006,0.0,-inf
1584316800,1.7075701760979363,0.0,-inf
1584403200,1.7403626894942439,0.0,-inf
1584489600,1.7708520116421442,0.3010299956639812,-inf
1584576000,1.806179973983887,0.3010299956639812,-inf
1584662400,1.845098040014257,0.3010299956639812,-inf
1584748800,1.8808135922807914,0.3010299956639812,0.3010299956639812
1584835200,1.9493900066449128,0.3010299956639812,0.3010299956639812
1584921600,2.0170333392987803,0.6020599913279624,0.3010299956639812
1585008000,2.089905111439398,0.6989700043360189,1.0
1585094400,2.164352855784437,0.6989700043360189,1.2304489213782739
1585180800,2.2405492482826,0.7781512503836436,1.2304489213782739
1585267200,2.2695129442179165,0.9030899869919435,1.4913616938342726
1585353600,2.294466226161593,1.0,1.4913616938342726
1585440000,2.326335860928751,1.0,1.5185139398778875
1585526400,2.3483048630481607,1.0413926851582251,1.6434526764861874
1585612800,2.385606273598312,1.1760912590556813,1.7160033436347992
1585699200,2.413299764081252,1.1760912590556813,1.8260748027008264
1585785600,2.4424797690644486,1.2041199826559248,1.8808135922807914
1585872000,2.482873583608754,1.2304489213782739,1.9493900066449128
1585958400,2.5224442335063197,1.3010299956639813,1.99563519459755
1586044800,2.5575072019056577,1.3010299956639813,2.0170333392987803
1586131200,2.576341350205793,1.3222192947339193,2.0644579892269186
1586217600,2.583198773968623,1.3424226808222062,2.1172712956557644
1586304000,2.6020599913279625,1.3424226808222062,2.187520720836463
1586390400,2.611723308007342,1.3617278360175928,2.2174839442139063
1586476800,2.6190933306267428,1.3617278360175928,2.2600713879850747
1586563200,2.6364878963533656,1.3617278360175928,2.294466226161593
1586649600,2.649334858712142,1.3617278360175928,2.3364597338485296
1586736000,2.6693168805661123,1.3617278360175928,2.3654879848909
1586822400,2.6766936096248664,1.380211241711606,2.3944516808262164
